CCI,Status,Published,contributor,Definition,Type,NIST800-53rev4,Control,NIST800-53rev3,Control,NIST800-53rev1,Control
CCI-002636,draft,7/11/2013,DISA FSO,The organization employs organization-defined tools to analyze the characteristics and behavior of malicious code.,policy,4,SI-3 (10) (a),,,,
CCI-002637,draft,7/11/2013,DISA FSO,The information system implements organization-defined security safeguards to authenticate organization-defined remote commands for malicious code protection.,technical,4,SI-3 (9),,,,
CCI-002638,draft,7/11/2013,DISA FSO,The organization employs organization-defined techniques to analyze the characteristics and behavior of malicious code.,policy,4,SI-3 (10) (a),,,,
CCI-002639,draft,7/11/2013,DISA FSO,The organization incorporates the results from malicious code analysis into organizational incident response processes.,policy,4,SI-3 (10) (b),,,,
CCI-002640,draft,7/11/2013,DISA FSO,The organization incorporates the results from malicious code analysis into organizational flaw remediation processes.,policy,4,SI-3 (10) (b),,,,
CCI-002641,draft,7/11/2013,DISA FSO,The organization monitors the information system to detect attacks and indicators of potential attacks in accordance with organization-defined monitoring objectives.,policy,4,SI-4 a 1,,,,
CCI-002642,draft,7/11/2013,DISA FSO,The organization monitors the information system to detect unauthorized local connections.,policy,4,SI-4 a 2,,,,
CCI-002643,draft,7/11/2013,DISA FSO,The organization monitors the information system to detect unauthorized network connections.,policy,4,SI-4 a 2,,,,
CCI-002644,draft,7/11/2013,DISA FSO,The organization monitors the information system to detect unauthorized remote connections.,policy,4,SI-4 a 2,,,,
CCI-002645,draft,7/11/2013,DISA FSO,The organization defines the techniques and methods to be used to identify unauthorized use of the information system.,policy,4,SI-4 b,,,,
CCI-002646,draft,7/11/2013,DISA FSO,The organization identifies unauthorized use of the information system through organization-defined techniques and methods.,policy,4,SI-4 b,,,,
CCI-002647,draft,7/11/2013,DISA FSO,The organization protects information obtained from intrusion-monitoring tools from unauthorized access.,policy,4,SI-4 d,,,,
CCI-002648,draft,7/11/2013,DISA FSO,The organization protects information obtained from intrusion-monitoring tools from unauthorized modification.,policy,4,SI-4 d,,,,
CCI-002649,draft,7/11/2013,DISA FSO,The organization protects information obtained from intrusion-monitoring tools from unauthorized deletion.,policy,4,SI-4 d,,,,
CCI-002650,draft,7/11/2013,DISA FSO,The organization defines the information system monitoring information that is to be provided the organization-defined personnel or roles.,policy,4,SI-4 g,,,,
CCI-002651,draft,7/11/2013,DISA FSO,The organization defines the personnel or roles that are to be provided organization-defined information system monitoring information.,policy,4,SI-4 g,,,,
CCI-002652,draft,7/11/2013,DISA FSO,The organization defines the frequency at which the organization will provide the organization-defined information system monitoring information to organization-defined personnel or roles.,policy,4,SI-4 g,,,,
CCI-002653,deprecated,7/11/2013,DISA FSO,The organization provides organization-defined information system monitoring information to organization-defined personnel or roles as needed or per organization-defined frequency.,policy,4,SI-4,,,,
CCI-002654,draft,7/11/2013,DISA FSO,The organization provides organization-defined information system monitoring information to organization-defined personnel or roles as needed or per organization-defined frequency.,policy,4,SI-4 g,,,,
CCI-002655,draft,7/11/2013,DISA FSO,The organization connects individual intrusion detection tools into an information system-wide intrusion detection system.,policy,4,SI-4 (1),,,,
CCI-002656,draft,7/11/2013,DISA FSO,The organization configures individual intrusion detection tools into an information system-wide intrusion detection system.,technical,4,SI-4 (1),,,,
CCI-002657,draft,7/11/2013,DISA FSO,The organization employs automated tools to integrate intrusion detection tools into access control mechanisms for rapid response to attacks by enabling reconfiguration of these mechanisms in support of attack isolation and elimination.,policy,4,SI-4 (3),,,,
CCI-002658,draft,7/11/2013,DISA FSO,The organization employs automated tools to integrate intrusion detection tools into flow control mechanisms for rapid response to attacks by enabling reconfiguration of these mechanisms in support of attack isolation and elimination.,policy,4,SI-4 (3),,,,
CCI-002659,draft,7/11/2013,DISA FSO,The organization defines the frequency on which it will monitor inbound communications for unusual or unauthorized activities or conditions.,policy,4,SI-4 (4),,,,
CCI-002660,draft,7/11/2013,DISA FSO,The organization defines the frequency on which it will monitor outbound communications for unusual or unauthorized activities or conditions.,policy,4,SI-4 (4),,,,
CCI-002661,draft,7/11/2013,DISA FSO,The information system monitors inbound communications traffic per organization-defined frequency for unusual or unauthorized activities or conditions.,technical,4,SI-4 (4),,,,
CCI-002662,draft,7/11/2013,DISA FSO,The information system monitors outbound communications traffic per organization-defined frequency for unusual or unauthorized activities or conditions.,technical,4,SI-4 (4),,,,
CCI-002663,draft,7/11/2013,DISA FSO,The organization defines the personnel or roles to receive information system alerts when organization-defined indicators of compromise or potential compromise occur.,policy,4,SI-4 (5),,,,
CCI-002664,draft,7/11/2013,DISA FSO,The information system alerts organization-defined personnel or roles when organization-defined compromise indicators reflect the occurrence of a compromise or a potential compromise.,technical,4,SI-4 (5),,,,
CCI-002665,draft,7/11/2013,DISA FSO,The organization defines the encrypted communications traffic that is to be visible to organization-defined information system monitoring tools.,policy,4,SI-4 (10),,,,
CCI-002666,draft,7/11/2013,DISA FSO,The organization defines the information system monitoring tools that will have visibility into organization-defined encrypted communications traffic.,policy,4,SI-4 (10),,,,
CCI-002667,draft,7/11/2013,DISA FSO,The organization makes provisions so that organization-defined encrypted communications traffic is visible to organization-defined information system monitoring tools.,policy,4,SI-4 (10),,,,
CCI-002668,draft,7/11/2013,DISA FSO,"The organization defines the interior points within the information system (e.g., subnetworks, subsystems) where outbound communications will be analyzed to discover anomalies.",policy,4,SI-4 (11),,,,
CCI-002669,draft,7/11/2013,DISA FSO,The organization uses the traffic/event profiles in tuning system-monitoring devices to reduce the number of false positives and false negatives.,policy,4,SI-4 (13) (c),,,,
CCI-002670,draft,7/11/2013,DISA FSO,"The organization defines the interior points within the system (e.g., subsystems, subnetworks) where outbound communications will be analyzed to detect covert exfiltration of information.",policy,4,SI-4 (18),,,,
CCI-002671,draft,7/11/2013,,"The organization analyzes outbound communications traffic at the external boundary of the information system (i.e., system perimeter) to detect covert exfiltration of information.",policy,4,SI-4 (18),,,,
CCI-002672,draft,7/11/2013,DISA FSO,"The organization analyzes outbound communications traffic at organization-defined interior points within the system (e.g., subsystems, subnetworks) to detect covert exfiltration of information.",policy,4,SI-4 (18),,,,
CCI-002673,draft,7/11/2013,DISA FSO,The organization defines the additional monitoring to be implemented for individuals identified as posing an increased level of risk.,policy,4,SI-4 (19),,,,
CCI-002674,draft,7/11/2013,DISA FSO,The organization defines the sources that may be used to identify individuals who pose an increased level of risk.,policy,4,SI-4 (19),,,,
CCI-002675,draft,7/11/2013,DISA FSO,The organization implements organization-defined additional monitoring of individuals who have been identified by organization-defined sources as posing an increased level of risk.,policy,4,SI-4 (19),,,,
CCI-002676,draft,7/11/2013,DISA FSO,The organization defines additional monitoring to be implemented for privileged users.,policy,4,SI-4 (20),,,,
CCI-002677,draft,7/11/2013,DISA FSO,The organization implements organization-defined additional monitoring of privileged users.,policy,4,SI-4 (20),,,,
CCI-002678,draft,7/11/2013,DISA FSO,The organization defines additional monitoring to be implemented for individuals during an organization-defined probationary period.,policy,4,SI-4 (21),,,,
CCI-002679,draft,7/11/2013,DISA FSO,The organization defines the probationary period during which additional monitoring will be implemented for individuals.,policy,4,SI-4 (21),,,,
CCI-002680,draft,7/11/2013,DISA FSO,The organization implements organization-defined additional monitoring of individuals during an organization-defined probationary period.,policy,4,SI-4 (21),,,,
CCI-002681,draft,7/11/2013,DISA FSO,The organization defines the authorization or approval process for network services.,policy,4,SI-4 (22),,,,
CCI-002682,draft,7/11/2013,DISA FSO,The organization defines the personnel or roles to be alerted when unauthorized or unapproved network services are detected.,policy,4,SI-4 (22),,,,
CCI-002683,draft,7/11/2013,DISA FSO,The information system detects network services that have not been authorized or approved by the organization-defined authorization or approval processes.,policy,4,SI-4 (22),,,,
CCI-002684,draft,7/11/2013,DISA FSO,The information system audits and/or alerts organization-defined personnel when unauthorized network services are detected.,technical,4,SI-4 (22),,,,
CCI-002685,draft,7/11/2013,DISA FSO,The organization defines the host-based monitoring mechanisms to be implemented at organization-defined information system components.,policy,4,SI-4 (23),,,,
CCI-002686,draft,7/11/2013,DISA FSO,The organization defines the information system components at which organization-defined host-based monitoring mechanisms are to be implemented.,policy,4,SI-4 (23),,,,
CCI-002687,draft,7/11/2013,DISA FSO,The organization implements organization-defined host-based monitoring mechanisms at organization-defined information system components.,policy,4,SI-4 (23),,,,
CCI-002688,draft,7/11/2013,DISA FSO,The information system discovers indicators of compromise.,technical,4,SI-4 (24),,,,
CCI-002689,draft,7/11/2013,DISA FSO,The information system collects indicators of compromise.,technical,4,SI-4 (24),,,,
CCI-002690,draft,7/11/2013,DISA FSO,The information system distributes indicators of compromise.,technical,4,SI-4 (24),,,,
CCI-002691,draft,7/11/2013,DISA FSO,The information system uses indicators of compromise.,technical,4,SI-4 (24),,,,
CCI-002692,draft,7/11/2013,DISA FSO,"The organization defines the external organizations from which it receives information system security alerts, advisories, and directives.",policy,4,SI-5 a,,,,
CCI-002693,draft,7/11/2013,DISA FSO,"The organization defines the elements within the organization to whom the organization will disseminate security alerts, advisories, and directives.",policy,4,SI-5 c,,,,
CCI-002694,draft,7/11/2013,DISA FSO,"The organization defines the external organizations to which the organization will disseminate security alerts, advisories, and directives.",policy,4,SI-5 c,,,,
CCI-002695,draft,7/11/2013,DISA FSO,The organization defines the security functions that require verification of correct operation.,policy,4,SI-6 a,,,,
CCI-002696,draft,7/11/2013,DISA FSO,The information system verifies correct operation of organization-defined security functions.,technical,4,SI-6 a,,,,
CCI-002697,draft,7/11/2013,DISA FSO,The organization defines the frequency at which it will verify correct operation of organization-defined security functions.,policy,4,SI-6 b,,,,
CCI-002698,draft,7/11/2013,DISA FSO,The organization defines the system transitional states when the information system will verify correct operation of organization-defined security functions.,policy,4,SI-6 b,,,,
CCI-002699,draft,7/11/2013,DISA FSO,The information system performs verification of the correct operation of organization-defined security functions: when the system is in an organization-defined transitional state;  upon command by a user with appropriate privileges and/or on an organization-defined frequency.,technical,4,SI-6 b,,,,
CCI-002700,draft,7/11/2013,DISA FSO,The organization defines the personnel or roles to be notified when security verification tests fail.,policy,4,SI-6 c,,,,
CCI-002701,draft,7/11/2013,DISA FSO,The organization defines alternative action(s) to be taken when the information system discovers anomalies in the operation of organization-defined security functions.,policy,4,SI-6 d,,,,
CCI-002702,draft,7/11/2013,DISA FSO,"The information system shuts the information system down, restarts the information system, and/or initiates organization-defined alternative action(s) when anomalies in the operation of the organization-defined security functions are discovered.",technical,4,SI-6 d,,,,
CCI-002703,draft,7/11/2013,DISA FSO,"The organization defines the software, firmware, and information which will be subjected to integrity verification tools to detect unauthorized changes.",policy,4,SI-7,,,,
CCI-002704,draft,7/11/2013,DISA FSO,"The organization employs integrity verification tools to detect unauthorized changes to organization-defined software, firmware, and information.",policy,4,SI-7,,,,
CCI-002705,draft,7/11/2013,DISA FSO,The organization defines the software on which integrity checks will be performed.,policy,4,SI-7 (1),,,,
CCI-002706,draft,7/11/2013,DISA FSO,The organization defines the firmware on which integrity checks will be performed.,policy,4,SI-7 (1),,,,
CCI-002707,draft,7/11/2013,DISA FSO,The organization defines the information on which integrity checks will be performed.,policy,4,SI-7 (1),,,,
CCI-002708,draft,7/11/2013,DISA FSO,"The organization defines the transitional state or security-relevant events when the information system will perform integrity checks on software, firmware, and information.",policy,4,SI-7 (1),,,,
CCI-002709,draft,7/11/2013,DISA FSO,"The organization defines the frequency at which it will perform integrity checks of software, firmware, and information.",policy,4,SI-7 (1),,,,
CCI-002710,draft,7/11/2013,DISA FSO,"The information system performs an integrity check of organization-defined software at startup, at organization-defined transitional states or security-relevant events, or on an organization-defined frequency.",technical,4,SI-7 (1),,,,
CCI-002711,draft,7/11/2013,DISA FSO,"The information system performs an integrity check of organization-defined firmware at startup, at organization-defined transitional states or security-relevant events, or on an organization-defined frequency.",technical,4,SI-7 (1),,,,
CCI-002712,draft,7/11/2013,DISA FSO,"The information system performs an integrity check of organization-defined information at startup, at organization-defined transitional states or security-relevant events, or on an organization-defined frequency.",technical,4,SI-7 (1),,,,
CCI-002713,draft,7/11/2013,DISA FSO,The organization defines the personnel or roles to be notified when discrepancies are discovered during integrity verification.,policy,4,SI-7 (2),,,,
CCI-002714,draft,7/11/2013,DISA FSO,The organization defines the security safeguards that are to be employed when integrity violations are discovered.,policy,4,SI-7 (5),,,,
CCI-002715,draft,7/11/2013,DISA FSO,"The information system automatically shuts the information system down, restarts the information system, and/or implements organization-defined security safeguards when integrity violations are discovered.",technical,4,SI-7 (5),,,,
CCI-002716,draft,7/11/2013,DISA FSO,The information system implements cryptographic mechanisms to detect unauthorized changes to software.,technical,4,SI-7 (6),,,,
CCI-002717,draft,7/11/2013,DISA FSO,The information system implements cryptographic mechanisms to detect unauthorized changes to firmware.,technical,4,SI-7 (6),,,,
CCI-002718,draft,7/11/2013,DISA FSO,The information system implements cryptographic mechanisms to detect unauthorized changes to information.,technical,4,SI-7 (6),,,,
CCI-002719,draft,7/11/2013,DISA FSO,The organization defines the unauthorized security-relevant changes to the information system that are to be incorporated into the organizational incident response capability.,policy,4,SI-7 (7),,,,
CCI-002720,draft,7/11/2013,DISA FSO,The organization incorporates the detection of unauthorized organization-defined security-relevant changes to the information system into the organizational incident response capability.,policy,4,SI-7 (7),,,,
CCI-002721,draft,7/11/2013,DISA FSO,The organization defines the personnel or roles that are to be alerted by the information system when it detects a potential integrity violation.,policy,4,SI-7 (8),,,,
CCI-002722,draft,7/11/2013,DISA FSO,The organization defines other actions that can be taken when the information system detects a potential integrity violation.,policy,4,SI-7 (8),,,,
CCI-002723,draft,7/11/2013,DISA FSO,"The information system, upon detection of a potential integrity violation, provides the capability to audit the event.",technical,4,SI-7 (8),,,,
CCI-002724,draft,7/11/2013,DISA FSO,"The information system, upon detection of a potential integrity violation, initiates one or more of the following actions: generates an audit record; alerts the current user; alerts organization-defined personnel or roles; and/or organization-defined other actions.",technical,4,SI-7 (8),,,,
CCI-002725,draft,7/11/2013,DISA FSO,The organization defines the devices which will have the integrity of the boot process verified.,policy,4,SI-7 (9),,,,
CCI-002726,draft,7/11/2013,DISA FSO,The information system verifies the integrity of the boot process of organization-defined devices.,technical,4,SI-7 (9),,,,
CCI-002727,draft,7/11/2013,DISA FSO,The organization defines the security safeguards to be implemented to protect the integrity of the boot firmware in organization-defined devices.,policy,4,SI-7 (10),,,,
CCI-002728,draft,7/11/2013,DISA FSO,The organization defines the devices on which organization-defined security safeguards will be implemented to protect the integrity of the boot firmware.,policy,4,SI-7 (10),,,,
CCI-002729,draft,7/11/2013,DISA FSO,The information system implements organization-defined security safeguards to protect the integrity of boot firmware in organization-defined devices.,technical,4,SI-7 (10),,,,
CCI-002730,draft,7/11/2013,DISA FSO,The organization defines the user-installed software that is to be executed in a confined physical or virtual machine environment with limited privileges.,policy,4,SI-7 (11),,,,
CCI-002731,draft,7/11/2013,DISA FSO,The organization requires that organization-defined user-installed software execute in a confined physical or virtual machine environment with limited privileges.,policy,4,SI-7 (11),,,,
CCI-002732,draft,7/11/2013,DISA FSO,The organization defines the user-installed software that is to have its integrity verified prior to execution.,policy,4,SI-7 (12),,,,
CCI-002733,draft,7/11/2013,DISA FSO,The organization requires that the integrity of organization-defined user-installed software be verified prior to execution.,policy,4,SI-7 (12),,,,
CCI-002734,draft,7/11/2013,DISA FSO,The organization defines the personnel or roles which have the authority to explicitly approve binary or machine-executable code.,policy,4,SI-7 (13),,,,
CCI-002735,draft,7/11/2013,DISA FSO,The organization allows execution of binary or machine-executable code obtained from sources with limited or no warranty and without the provision of source code only in confined physical or virtual machine environments.,policy,4,SI-7 (13),,,,
CCI-002736,draft,7/11/2013,DISA FSO,The organization allows execution of binary or machine-executable code obtained from sources with limited or no warranty and without the provision of source code only with the explicit approval of organization-defined personnel or roles.,policy,4,SI-7 (13),,,,
CCI-002737,draft,7/11/2013,DISA FSO,The organization prohibits the use of binary or machine-executable code from sources with limited or no warranty and without the provision of source code.,policy,4,SI-7 (14) (a),,,,
CCI-002738,draft,7/11/2013,DISA FSO,The organization provides exceptions to the source code requirement only for compelling mission/operational requirements and with the approval of the authorizing official.,policy,4,SI-7 (14) (b),,,,
CCI-002739,draft,7/11/2013,DISA FSO,The organization defines the software or firmware components on which cryptographic mechanisms are to be implemented to support authentication prior to installation.,policy,4,SI-7 (15),,,,
CCI-002740,draft,7/11/2013,DISA FSO,The information system implements cryptographic mechanisms to authenticate organization-defined software or firmware components prior to installation.,technical,4,SI-7 (15),,,,
CCI-002741,draft,7/11/2013,DISA FSO,The organization employs spam protection mechanisms at information system entry points to detect and take action on unsolicited messages.,policy,4,SI-8 a,,,,
CCI-002742,draft,7/11/2013,DISA FSO,The organization employs spam protection mechanisms at information system exit points to detect and take action on unsolicited messages.,policy,4,SI-8 a,,,,
CCI-002743,draft,7/11/2013,DISA FSO,The information system implements spam protection mechanisms with a learning capability to more effectively identify legitimate communications traffic.,technical,4,SI-8 (3),,,,
CCI-002566,draft,7/9/2013,DISA FSO,The organization defines personnel or roles to whom a documented media protection policy and procedures will be disseminated.,policy,4,MP-1 a 1,,,,
CCI-002567,draft,7/9/2013,DISA FSO,The organization reviews and approves media sanitization.,policy,4,MP-6 (1),,,,
CCI-002568,draft,7/9/2013,DISA FSO,The organization tracks and documents media sanitization.,policy,4,MP-6 (1),,,,
CCI-002569,draft,7/9/2013,DISA FSO,The organization verifies media sanitization.,policy,4,MP-6 (1),,,,
CCI-002570,draft,7/9/2013,DISA FSO,The organization reviews and approves media disposal actions.,policy,4,MP-6 (1),,,,
CCI-002571,draft,7/9/2013,DISA FSO,The organization tracks and documents media disposal actions.,policy,4,MP-6 (1),,,,
CCI-002572,draft,7/9/2013,DISA FSO,The organization verifies media disposal actions.,policy,4,MP-6 (1),,,,
CCI-002573,draft,7/9/2013,DISA FSO,The organization enforces dual authorization for the sanitization of organization-defined information system media.,policy,4,MP-6 (7),,,,
CCI-002574,draft,7/9/2013,DISA FSO,The organization defines the information system media that dual authorization is enforced for sanitization.,policy,4,MP-6 (7),,,,
CCI-002575,draft,7/9/2013,DISA FSO,"The organization defines information systems, system components, or devices from which information is to be purged/wiped, either remotely or under the organization-defined conditions.",policy,4,MP-6 (8),,,,
CCI-002576,draft,7/9/2013,DISA FSO,"The organization defines conditions under which information from organization-defined information systems, system components, or devices should be purged/wiped.",policy,4,MP-6 (8),,,,
CCI-002577,draft,7/9/2013,DISA FSO,"The organization provides the capability to purge/wipe information from organization-defined information systems, system components, or devices either remotely or under organization-defined conditions.",policy,4,MP-6 (8),,,,
CCI-002578,draft,7/9/2013,DISA FSO,"The organization defines information system media to sanitize prior to disposal, release out of organizational control, or release for reuse using organization-defined sanitization techniques and procedures in accordance with applicable federal and organizational standards and policies.",policy,4,MP-6 a,,,,
CCI-002579,draft,7/9/2013,DISA FSO,"The organization defines the sanitization techniques and procedures to be used to sanitize organization-defined information system media prior to disposal, release out of organizational control, or release for reuse in accordance with applicable federal and organization standards and policies.",policy,4,MP-6 a,,,,
CCI-002580,draft,7/9/2013,DISA FSO,The organization employs sanitization mechanisms with the strength and integrity commensurate with the security category or classification of the information.,policy,4,MP-6 b,,,,
CCI-002581,draft,7/9/2013,DISA FSO,The organization defines the types of information system media to restrict or prohibit on organization-defined information systems or system components using organization-defined security safeguards.,policy,4,MP-7,,,,
CCI-002582,draft,7/9/2013,DISA FSO,The organization defines the information systems or system components on which to restrict or prohibit the use of organization-defined types of information system media using organization-defined security safeguards.,policy,4,MP-7,,,,
CCI-002583,draft,7/9/2013,DISA FSO,The organization defines the security safeguards to use for restricting or prohibiting the use of organization-defined types of information system media on organization-defined information systems or system components.,policy,4,MP-7,,,,
CCI-002584,draft,7/9/2013,DISA FSO,The organization restricts or prohibits the use of organization-defined types of information system media on organization-defined information systems or system components using organization-defined security safeguards.,policy,4,MP-7,,,,
CCI-002585,draft,7/9/2013,DISA FSO,The organization prohibits the use of portable storage devices in organizational information systems when such devices have no identifiable owner.,policy,4,MP-7 (1),,,,
CCI-002586,draft,7/9/2013,DISA FSO,The organization prohibits the use of sanitization-resistant media in organizational information systems.,policy,4,MP-7 (2),,,,
CCI-002587,draft,7/9/2013,DISA FSO,The organization documents information system media downgrading actions.,policy,4,MP-8 (1),,,,
CCI-002588,draft,7/9/2013,DISA FSO,The organization employs organization-defined tests of downgrading equipment in accordance with organization-defined frequency.,policy,4,MP-8 (2),,,,
CCI-002589,draft,7/9/2013,DISA FSO,The organization employs procedures to verify correct performance of organization-defined tests of downgrading equipment in accordance with organization-defined frequency.,policy,4,MP-8 (2),,,,
CCI-002590,draft,7/9/2013,DISA FSO,The organization defines tests to employ for downgrading equipment.,policy,4,MP-8 (2),,,,
CCI-002591,draft,7/9/2013,DISA FSO,The organization defines the frequency with which to employ tests of downgrading equipment and procedures to verify correct performance.,policy,4,MP-8 (2),,,,
CCI-002592,draft,7/9/2013,DISA FSO,The organization defines Controlled Unclassified Information (CUI).,policy,4,MP-8 (3),,,,
CCI-002593,draft,7/9/2013,DISA FSO,The organization downgrades information system media containing organization-defined Controlled Unclassified Information (CUI) prior to public release in accordance with applicable federal and organizational standards and policies.,policy,4,MP-8 (3),,,,
CCI-002594,draft,7/9/2013,DISA FSO,The organization downgrades information system media containing classified information prior to release to individuals without required access authorizations in accordance with NSA standards and policies.,policy,4,MP-8 (4),,,,
CCI-002595,deprecated,7/9/2013,DISA FSO,The organization establishes an organization-defined information system media downgrading process that includes employing downgrading mechanisms with organization-defined strength and integrity.,policy,4,MP-8 a,,,,
CCI-002596,draft,7/9/2013,DISA FSO,The organization establishes and defines an information system media downgrading process that includes employing downgrading mechanisms with organization-defined strength and integrity.,policy,4,MP-8 a,,,,
CCI-002597,draft,7/9/2013,DISA FSO,The organization defines strength and integrity for downgrading mechanisms to establish an organization-defined information system media downgrading process.,policy,4,MP-8 a,,,,
CCI-002598,draft,7/9/2013,DISA FSO,The organization ensures that the information system media downgrading process is commensurate with the security category and/or classification level of the information to be removed and the access authorizations of the potential recipients of the downgraded information.,policy,4,MP-8 b,,,,
CCI-002599,draft,7/9/2013,DISA FSO,The organization defines and identifies the information system media requiring downgrading.,policy,4,MP-8 c,,,,
CCI-002600,draft,7/9/2013,DISA FSO,The organization downgrades the identified information system media using the established process.,policy,4,MP-8 d,,,,
CCI-002375,draft,7/2/2013,DISA FSO,The organization takes organization-defined corrective actions when information about the information system is discoverable by adversaries.,policy,4,RA-5 (4),,,,
CCI-002376,draft,7/2/2013,DISA FSO,The organization defines the personnel or roles with whom the information obtained from the vulnerability scanning process and security control assessments will be shared.,policy,4,RA-5 e,,,,
CCI-002377,draft,7/2/2013,DISA FSO,The organization documents the system and communications protection policy.,policy,4,SC-1 a 1,,,,
CCI-002378,draft,7/2/2013,DISA FSO,The organization defines the personnel or roles to be recipients of the system and communications protection policy.,policy,4,SC-1 a 1,,,,
CCI-002379,draft,7/2/2013,DISA FSO,The organization documents procedures to facilitate the implementation of the system and communications protection policy and associated system and communications protection controls.,policy,4,SC-1 a 2,,,,
CCI-002380,draft,7/2/2013,DISA FSO,The organization defines the personnel or roles to be recipients of the procedures to facilitate the implementation of the system and communications protection policy and associated system and communications protection controls.,policy,4,SC-1 a 2,,,,
CCI-002426,draft,7/2/2013,DISA FSO,The information system provides a trusted communications path that is logically isolated and distinguishable from other paths.,technical,4,SC-11 (1),,,,
CCI-002428,draft,7/2/2013,DISA FSO,The organization defines the requirements for cryptographic key generation to be employed within the information system.,policy,4,SC-12,,,,
CCI-002429,draft,7/2/2013,DISA FSO,The organization defines the requirements for cryptographic key distribution to be employed within the information system.,policy,4,SC-12,,,,
CCI-002430,draft,7/2/2013,DISA FSO,The organization defines the requirements for cryptographic key storage to be employed within the information system.,policy,4,SC-12,,,,
CCI-002431,draft,7/2/2013,DISA FSO,The organization defines the requirements for cryptographic key access to be employed within the information system.,policy,4,SC-12,,,,
CCI-002432,draft,7/2/2013,DISA FSO,The organization defines the requirements for cryptographic key destruction to be employed within the information system.,policy,4,SC-12,,,,
CCI-002433,draft,7/2/2013,DISA FSO,The organization establishes cryptographic keys for required cryptography employed within the information system in accordance with organization-defined requirements for key generation.,policy,4,SC-12,,,,
CCI-002434,draft,7/2/2013,DISA FSO,The organization establishes cryptographic keys for required cryptography employed within the information system in accordance with organization-defined requirements for key distribution.,policy,4,SC-12,,,,
CCI-002435,draft,7/2/2013,DISA FSO,The organization establishes cryptographic keys for required cryptography employed within the information system in accordance with organization-defined requirements for key storage.,policy,4,SC-12,,,,
CCI-002436,draft,7/2/2013,DISA FSO,The organization establishes cryptographic keys for required cryptography employed within the information system in accordance with organization-defined requirements for key access.,policy,4,SC-12,,,,
CCI-002437,draft,7/2/2013,DISA FSO,The organization establishes cryptographic keys for required cryptography employed within the information system in accordance with organization-defined requirements for key destruction.,policy,4,SC-12,,,,
CCI-002438,draft,7/2/2013,DISA FSO,The organization manages cryptographic keys for required cryptography employed within the information system in accordance with organization-defined requirements for key generation.,policy,4,SC-12,,,,
CCI-002439,draft,7/2/2013,DISA FSO,The organization manages cryptographic keys for required cryptography employed within the information system in accordance with organization-defined requirements for key distribution.,policy,4,SC-12,,,,
CCI-002440,draft,7/2/2013,DISA FSO,The organization manages cryptographic keys for required cryptography employed within the information system in accordance with organization-defined requirements for key storage.,policy,4,SC-12,,,,
CCI-002441,draft,7/2/2013,DISA FSO,The organization manages cryptographic keys for required cryptography employed within the information system in accordance with organization-defined requirements for key access.,policy,4,SC-12,,,,
CCI-002442,draft,7/2/2013,DISA FSO,The organization manages cryptographic keys for required cryptography employed within the information system in accordance with organization-defined requirements for key destruction.,policy,4,SC-12,,,,
CCI-002443,draft,7/2/2013,DISA FSO,The organization produces symmetric cryptographic keys using NIST FIPS-compliant or NSA-approved key management technology and processes.,policy,4,SC-12 (2),,,,
CCI-002444,draft,7/2/2013,DISA FSO,The organization controls symmetric cryptographic keys using NIST FIPS-compliant or NSA-approved key management technology and processes.,policy,4,SC-12 (2),,,,
CCI-002445,draft,7/2/2013,DISA FSO,The organization distributes symmetric cryptographic keys using NIST FIPS-compliant or NSA-approved key management technology and processes.,policy,4,SC-12 (2),,,,
CCI-002446,draft,7/2/2013,DISA FSO,The organization produces asymmetric cryptographic keys using: NSA-approved key management technology and processes;  approved PKI Class 3 certificates or prepositioned keying material; or approved PKI Class 3 or Class 4 certificates and hardware security tokens that protect the user's private key.,policy,4,SC-12 (3),,,,
CCI-002447,draft,7/2/2013,DISA FSO,The organization controls asymmetric cryptographic keys using: NSA-approved key management technology and processes; or approved PKI Class 3 or Class 4 certificates and hardware security tokens that protect the user's private key.,policy,4,SC-12 (3),,,,
CCI-002448,draft,7/2/2013,DISA FSO,The organization distributes asymmetric cryptographic keys using: NSA-approved key management technology and processes; or approved PKI Class 3 or Class 4 certificates and hardware security tokens that protect the user's private key.,policy,4,SC-12 (3),,,,
CCI-002449,draft,7/2/2013,DISA FSO,"The organization defines the cryptographic uses, and type of cryptography required for each use, to be implemented by the information system.",policy,4,SC-13,,,,
CCI-002450,draft,7/2/2013,DISA FSO,"The information system implements organization-defined cryptographic uses and type of cryptography required for each use in accordance with applicable federal laws, Executive Orders, directives, policies, regulations, and standards.",technical,4,SC-13,,,,
CCI-002451,draft,7/2/2013,DISA FSO,The organization defines the information systems or information system components from which collaborative computing devices in organization-defined secure work areas are to be disabled or removed.,policy,4,SC-15 (3),,,,
CCI-002452,draft,7/2/2013,DISA FSO,The organization defines the online meetings and teleconferences for which the information system provides an explicit indication of current participants.,policy,4,SC-15 (4),,,,
CCI-002453,draft,7/2/2013,DISA FSO,The information system provides an explicit indication of current participants in organization-defined online meetings and teleconferences.,technical,4,SC-15 (4),,,,
CCI-002454,draft,7/2/2013,DISA FSO,The organization defines the security attributes the information system is to associate with the information being exchanged between information systems and between information system components.,policy,4,SC-16,,,,
CCI-002455,draft,7/2/2013,DISA FSO,The information system associates organization-defined security attributes with information exchanged between information system components.,technical,4,SC-16,,,,
